Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
2081785748,"Dec 6, 2018, 10:23:22 PM",Afternoon Activity,Workout,,1169,2.81,,,false,,,activities/2224104586.fit.gz,,,1169.0,860.0,2817.800048828125,5.5,,2.0,4.0,126.0,194.8000030517578,30.799999237060547,-0.0780750960111618,,,86.0,81.21739196777344,,,,,204.0,,16.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2081785749,"Dec 19, 2018, 6:31:45 PM",Afternoon Activity,Workout,"",4163,13.02,,,false,,,activities/2224104587.fit.gz,0.0,,4163.0,3907.0,13028.599609375,6.699999809265137,,91.0,90.0,136.60000610351562,175.1999969482422,13.199999809265137,0.010745590552687645,,,103.0,81.34475708007812,,,,,938.0,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3063.89990234375,,,,,""
2081785755,"Dec 22, 2018, 3:00:37 PM",Morning Activity,Workout,,905,2.63,,,false,,,activities/2224104596.fit.gz,,,905.0,886.0,2629.199951171875,5.099999904632568,,22.0,31.0,45.0,166.0,41.29999923706055,-0.37273696064949036,,,85.0,82.45951843261719,,,,,193.0,,13.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.39999389648438,,,,,""
2081785761,"Nov 25, 2018, 7:53:25 PM",Afternoon Activity,Workout,,1387,4.59,,,false,,,activities/2224104595.fit.gz,,,1387.0,1305.0,4596.2998046875,4.900000095367432,,25.0,36.0,135.60000610351562,281.79998779296875,7.400000095367432,-0.2045123279094696,,,90.0,80.63671875,,,,,337.0,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2081785763,"Jan 3, 2019, 10:42:31 PM",Afternoon Activity,Workout,,904,2.84,,,false,,,activities/2224104604.fit.gz,,,904.0,904.0,2847.199951171875,3.5,,0.0,2.0,257.6000061035156,260.79998779296875,7.900000095367432,-0.05619556084275246,,,83.0,79.89888763427734,,,,,208.0,,20.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2081785764,"Nov 16, 2018, 10:07:06 PM",Afternoon Activity,Workout,,2531,7.17,,,false,,,activities/2224104597.fit.gz,,,2531.0,2080.0,7177.0,7.0,,103.0,98.0,181.60000610351562,357.20001220703125,37.79999923706055,0.08360038697719574,,,92.0,81.0979995727539,,,,,513.0,,9.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.0,,,,,""
2081785767,"Jan 12, 2019, 4:37:52 PM",Lunch Activity,Workout,,963,2.82,,,false,,,activities/2224104603.fit.gz,,,963.0,906.0,2821.0,6.0,,24.0,15.0,147.0,173.60000610351562,20.799999237060547,0.3403048515319824,,,88.0,84.06770324707031,,,,,202.0,,7.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2081785770,"Dec 14, 2018, 2:08:38 AM",Night Activity,Workout,,3629,11.83,,,false,,,activities/2224104593.fit.gz,,,3629.0,3451.0,11836.900390625,4.599999904632568,,124.0,127.0,86.19999694824219,199.60000610351562,12.199999809265137,-0.03210299834609032,,,85.0,80.18414306640625,,,,,874.0,,11.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,""
2081785771,"Jan 12, 2019, 3:01:30 PM",Morning Activity,Workout,,1029,2.65,,,false,,,activities/2224104599.fit.gz,,,1029.0,868.0,2649.699951171875,7.800000190734863,,19.0,26.0,165.1999969482422,292.79998779296875,48.5,-0.30192098021507263,,,92.0,83.13999938964844,,,,,179.0,,12.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.3000030517578,,,,,""
2081785780,"Dec 3, 2018, 10:26:42 PM",Afternoon Activity,Workout,,693,2.07,,,false,,,activities/2224104606.fit.gz,,,693.0,590.0,2073.699951171875,11.600000381469727,,4.0,4.0,36.0,131.60000610351562,3.9000000953674316,-0.08680137246847153,,,85.0,81.37138366699219,,,,,146.0,,15.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
